EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,THX,THH,SP_T_DX,SP_T_DH,SP_T_DV,HW_PARAM,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_EVM,VAL_ACLR_L,VAL_ACLR_R,VAL_ACLR_AVG,TEST_LOSS,TEST_NMSE,TEST_EVM,TEST_ACLR_L,TEST_ACLR_R,TEST_ACLR_AVG
72,100,41.25098786,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498471,0.00356051,1063.63531827,0.00023136,0.00019785,-32.914547,-35.12272063,-41.11554749,-38.94958150,-40.03256450,0.00024541,-32.455463,-35.14729237,-41.38380311,-39.35084235,-40.36732273
73,100,41.81350999,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498471,0.00356051,1063.63531827,0.00022803,0.00019498,-32.97783,-35.18820859,-41.20861160,-39.04981729,-40.12921444,0.00024188,-32.518066,-35.20915255,-41.50784739,-39.43034627,-40.46909683
74,100,42.41042961,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498464,0.00356046,1063.63536756,0.00022490,0.00019227,-33.038784,-35.24227360,-41.32745021,-39.13206468,-40.22975745,0.00023872,-32.57533,-35.26534282,-41.60696447,-39.50817099,-40.55756773
75,100,42.97613595,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498468,0.00356049,1063.63533807,0.00022179,0.00018935,-33.105698,-35.31211947,-41.41609482,-39.22859297,-40.32234389,0.00023526,-32.63931,-35.34098171,-41.70900911,-39.57696261,-40.64298586
76,100,43.49480767,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498466,0.00356047,1063.63535766,0.00021866,0.00018664,-33.168453,-35.36367141,-41.48920650,-39.27204997,-40.38062824,0.00023221,-32.696102,-35.39125310,-41.81402034,-39.63759057,-40.72580545
77,100,44.06027578,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498464,0.00356046,1063.63536756,0.00021570,0.00018369,-33.237736,-35.44787111,-41.60532311,-39.36985063,-40.48758687,0.00022833,-32.7689,-35.48362285,-41.94395423,-39.69086449,-40.81740936
78,100,44.63005820,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498461,0.00356044,1063.63538714,0.00021270,0.00018117,-33.29761,-35.50221601,-41.65802522,-39.44941212,-40.55371867,0.00022503,-32.83115,-35.53935651,-42.03844432,-39.74963129,-40.89403780
79,100,45.19345104,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498467,0.00356048,1063.63534775,0.00020952,0.00017826,-33.36862,-35.57407788,-41.77962267,-39.52967315,-40.65464791,0.00022156,-32.898083,-35.61260813,-42.10585103,-39.85840485,-40.98212794
80,100,45.80241712,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498461,0.00356044,1063.63538714,0.00020674,0.00017551,-33.436157,-35.65514143,-41.86633262,-39.58789146,-40.72711204,0.00021820,-32.963974,-35.69195870,-42.23750084,-39.85230992,-41.04490538
81,100,46.36668622,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498463,0.00356045,1063.63537724,0.00020380,0.00017300,-33.498737,-35.69872247,-41.92683316,-39.66457682,-40.79570499,0.00021526,-33.023678,-35.73463213,-42.33316852,-39.94991795,-41.14154324
82,100,46.92411390,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498479,0.00356056,1063.63526921,0.00020085,0.00017048,-33.562244,-35.75413753,-41.98988308,-39.75468409,-40.87228358,0.00021185,-33.09166,-35.79457666,-42.43250139,-40.03627173,-41.23438656
83,100,47.48335276,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498474,0.00356053,1063.63529869,0.00019797,0.00016769,-33.634727,-35.85145233,-42.06567448,-39.82002295,-40.94284872,0.00020886,-33.154484,-35.88547824,-42.53508428,-40.08413683,-41.30961055
